epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.641,1.06068,0.84778,1,0.43483,0.0804605,0.000197368,0.000197368
2,32.9439,0.57302,0.79281,0.99789,0.56169,0.0606604,0.00039728,0.00039728
3,49.9972,0.47894,0.84355,1,0.45473,0.04086,0.000596838,0.000596838
4,65.0102,0.44022,0.90698,1,0.31522,0.0210589,0.000795776,0.000795776
5,80.0404,0.39537,0.88372,1,0.29757,0.00125699,0.000993829,0.000993829
6,95.8501,0.43418,0.93235,1,0.20512,0.00099446,0.00099446,0.00099446
7,110.842,0.35139,0.86469,1,0.37889,0.000992029,0.000992029,0.000992029
8,126.099,0.34226,0.91121,1,0.25563,0.000989163,0.000989163,0.000989163
9,141.61,0.36931,0.93869,1,0.20333,0.000985862,0.000985862,0.000985862
10,156.701,0.31936,0.91543,1,0.23793,0.000982132,0.000982132,0.000982132
11,172.632,0.29149,0.94715,1,0.17825,0.000977975,0.000977975,0.000977975
12,188.699,0.26947,0.95772,1,0.14276,0.000973396,0.000973396,0.000973396
13,204.037,0.30613,0.92389,1,0.20117,0.000968399,0.000968399,0.000968399
14,219.634,0.2341,0.92178,1,0.27578,0.00096299,0.00096299,0.00096299
15,234.021,0.25927,0.92812,1,0.2183,0.000957172,0.000957172,0.000957172
16,250.299,0.2545,0.96617,1,0.1512,0.000950953,0.000950953,0.000950953
17,265.013,0.27453,0.96617,1,0.15523,0.000944338,0.000944338,0.000944338
18,279.433,0.23942,0.91543,1,0.31615,0.000937334,0.000937334,0.000937334
19,294.714,0.24248,0.93023,1,0.27569,0.000929948,0.000929948,0.000929948
20,309.93,0.2396,0.96617,1,0.14433,0.000922186,0.000922186,0.000922186
21,324.979,0.2346,0.96617,1,0.13068,0.000914058,0.000914058,0.000914058
22,341.817,0.23415,0.93235,1,0.16363,0.00090557,0.00090557,0.00090557
23,357.532,0.20291,0.94503,1,0.20159,0.000896731,0.000896731,0.000896731
24,373.873,0.17756,0.96406,1,0.12497,0.00088755,0.00088755,0.00088755
25,389.315,0.20158,0.95349,1,0.17437,0.000878036,0.000878036,0.000878036
26,406.433,0.21679,0.96617,1,0.10725,0.000868198,0.000868198,0.000868198
27,424.219,0.22327,0.93446,1,0.19355,0.000858046,0.000858046,0.000858046
28,440.804,0.16044,0.96195,1,0.13488,0.00084759,0.00084759,0.00084759
29,456.75,0.15932,0.97674,1,0.10745,0.000836841,0.000836841,0.000836841
30,472.525,0.16521,0.95772,1,0.12156,0.000825808,0.000825808,0.000825808
31,487.524,0.17052,0.96829,1,0.09425,0.000814503,0.000814503,0.000814503
32,504.689,0.17528,0.97463,1,0.08285,0.000802938,0.000802938,0.000802938
33,521.474,0.15036,0.97463,1,0.06834,0.000791122,0.000791122,0.000791122
34,537.583,0.14039,0.97674,1,0.07019,0.000779069,0.000779069,0.000779069
35,554.506,0.14182,0.97674,1,0.07467,0.000766789,0.000766789,0.000766789
36,570.683,0.13774,0.97674,1,0.08578,0.000754296,0.000754296,0.000754296
37,586.472,0.13561,0.96406,1,0.09422,0.000741601,0.000741601,0.000741601
38,602.95,0.14145,0.96195,1,0.12,0.000728717,0.000728717,0.000728717
39,617.713,0.14569,0.97463,1,0.08905,0.000715656,0.000715656,0.000715656
40,633.522,0.12371,0.97674,1,0.09893,0.000702432,0.000702432,0.000702432
41,648.676,0.14588,0.97463,1,0.08663,0.000689058,0.000689058,0.000689058
42,664.714,0.11904,0.97674,1,0.0884,0.000675546,0.000675546,0.000675546
43,680.995,0.12889,0.9704,1,0.11032,0.00066191,0.00066191,0.00066191
44,698.537,0.13207,0.97886,1,0.06508,0.000648164,0.000648164,0.000648164
45,714.188,0.12251,0.98097,1,0.06943,0.000634322,0.000634322,0.000634322
46,730.864,0.14293,0.9704,1,0.09017,0.000620396,0.000620396,0.000620396
47,747.601,0.1067,0.97463,1,0.07774,0.0006064,0.0006064,0.0006064
48,763.692,0.10579,0.98097,1,0.07412,0.000592349,0.000592349,0.000592349
49,779.902,0.13335,0.97886,1,0.05927,0.000578256,0.000578256,0.000578256
50,795.523,0.1084,0.98309,1,0.06918,0.000564135,0.000564135,0.000564135
51,820.733,0.12871,0.97252,1,0.09054,0.00055,0.00055,0.00055
52,846.524,0.1027,0.98097,1,0.06526,0.000535865,0.000535865,0.000535865
53,863.383,0.07476,0.97674,1,0.07278,0.000521744,0.000521744,0.000521744
54,879.16,0.08584,0.97674,1,0.09128,0.000507651,0.000507651,0.000507651
55,895.346,0.08793,0.98097,1,0.07802,0.0004936,0.0004936,0.0004936
56,910.047,0.05647,0.98309,1,0.06926,0.000479604,0.000479604,0.000479604
57,925.957,0.06446,0.98097,1,0.06954,0.000465678,0.000465678,0.000465678
58,943.537,0.10009,0.97674,1,0.08676,0.000451836,0.000451836,0.000451836
59,958.704,0.10117,0.9852,1,0.06097,0.00043809,0.00043809,0.00043809
60,976.089,0.06951,0.97886,1,0.09693,0.000424454,0.000424454,0.000424454
61,991.975,0.09861,0.98943,1,0.05113,0.000410942,0.000410942,0.000410942
62,1017.24,0.06948,0.98309,1,0.06328,0.000397568,0.000397568,0.000397568
63,1041.37,0.08529,0.98943,1,0.05361,0.000384344,0.000384344,0.000384344
64,1058.51,0.0756,0.9852,1,0.05989,0.000371283,0.000371283,0.000371283
65,1076.07,0.07291,0.9852,1,0.062,0.000358399,0.000358399,0.000358399
66,1090.32,0.06862,0.98309,1,0.05411,0.000345704,0.000345704,0.000345704
67,1108.44,0.0846,0.98731,1,0.06439,0.000333211,0.000333211,0.000333211
68,1124.18,0.06602,0.9852,1,0.05502,0.000320931,0.000320931,0.000320931
69,1149.57,0.07832,0.98309,1,0.06125,0.000308878,0.000308878,0.000308878
70,1164.64,0.06744,0.9852,1,0.06333,0.000297062,0.000297062,0.000297062
71,1181.25,0.06931,0.9852,1,0.05202,0.000285497,0.000285497,0.000285497
72,1201.21,0.08212,0.98309,1,0.04871,0.000274192,0.000274192,0.000274192
73,1217.23,0.06074,0.98097,1,0.05329,0.000263159,0.000263159,0.000263159
74,1245.83,0.07219,0.9852,1,0.04977,0.00025241,0.00025241,0.00025241
75,1275.64,0.05645,0.98309,1,0.03954,0.000241954,0.000241954,0.000241954
76,1304.05,0.05043,0.98097,1,0.05317,0.000231802,0.000231802,0.000231802
1,16.9267,1.06068,0.84778,1,0.43483,0.0804605,0.000197368,0.000197368
2,31.8592,0.57302,0.79281,0.99789,0.56169,0.0606604,0.00039728,0.00039728
3,46.7349,0.47894,0.84355,1,0.45473,0.04086,0.000596838,0.000596838
4,60.1708,0.44022,0.90698,1,0.31522,0.0210589,0.000795776,0.000795776
5,74.1378,0.39537,0.88372,1,0.29757,0.00125699,0.000993829,0.000993829
6,88.3807,0.43418,0.93235,1,0.20512,0.00099446,0.00099446,0.00099446
7,101.941,0.35139,0.86469,1,0.37889,0.000992029,0.000992029,0.000992029
8,115.868,0.34226,0.91121,1,0.25563,0.000989163,0.000989163,0.000989163
9,130.393,0.36931,0.93869,1,0.20333,0.000985862,0.000985862,0.000985862
10,144.095,0.31936,0.91543,1,0.23793,0.000982132,0.000982132,0.000982132
11,159.234,0.29149,0.94715,1,0.17825,0.000977975,0.000977975,0.000977975
12,173.679,0.26947,0.95772,1,0.14276,0.000973396,0.000973396,0.000973396
13,189.293,0.30613,0.92389,1,0.20117,0.000968399,0.000968399,0.000968399
14,205.097,0.2341,0.92178,1,0.27578,0.00096299,0.00096299,0.00096299
15,220.752,0.25927,0.92812,1,0.2183,0.000957172,0.000957172,0.000957172
16,238.011,0.2545,0.96617,1,0.1512,0.000950953,0.000950953,0.000950953
17,253.367,0.27453,0.96617,1,0.15523,0.000944338,0.000944338,0.000944338
18,267.621,0.23942,0.91543,1,0.31615,0.000937334,0.000937334,0.000937334
19,281.709,0.24248,0.93023,1,0.27569,0.000929948,0.000929948,0.000929948
20,296.46,0.2396,0.96617,1,0.14433,0.000922186,0.000922186,0.000922186
21,311.406,0.2346,0.96617,1,0.13068,0.000914058,0.000914058,0.000914058
22,327.061,0.23415,0.93235,1,0.16363,0.00090557,0.00090557,0.00090557
23,341.035,0.20291,0.94503,1,0.20159,0.000896731,0.000896731,0.000896731
24,355.596,0.17756,0.96406,1,0.12497,0.00088755,0.00088755,0.00088755
25,368.981,0.20158,0.95349,1,0.17437,0.000878036,0.000878036,0.000878036
26,383.761,0.21679,0.96617,1,0.10725,0.000868198,0.000868198,0.000868198
27,398.919,0.22327,0.93446,1,0.19355,0.000858046,0.000858046,0.000858046
28,413.4,0.16044,0.96195,1,0.13488,0.00084759,0.00084759,0.00084759
29,427.413,0.15932,0.97674,1,0.10745,0.000836841,0.000836841,0.000836841
30,441.236,0.16521,0.95772,1,0.12156,0.000825808,0.000825808,0.000825808
31,454.666,0.17052,0.96829,1,0.09425,0.000814503,0.000814503,0.000814503
32,469.48,0.17528,0.97463,1,0.08285,0.000802938,0.000802938,0.000802938
33,484.273,0.15036,0.97463,1,0.06834,0.000791122,0.000791122,0.000791122
34,498.394,0.14039,0.97674,1,0.07019,0.000779069,0.000779069,0.000779069
35,513.728,0.14182,0.97674,1,0.07467,0.000766789,0.000766789,0.000766789
36,527.844,0.13774,0.97674,1,0.08578,0.000754296,0.000754296,0.000754296
37,542.134,0.13561,0.96406,1,0.09422,0.000741601,0.000741601,0.000741601
38,557.347,0.14145,0.96195,1,0.12,0.000728717,0.000728717,0.000728717
39,571.065,0.14569,0.97463,1,0.08905,0.000715656,0.000715656,0.000715656
40,585.359,0.12371,0.97674,1,0.09893,0.000702432,0.000702432,0.000702432
41,598.848,0.14588,0.97463,1,0.08663,0.000689058,0.000689058,0.000689058
42,612.663,0.11904,0.97674,1,0.0884,0.000675546,0.000675546,0.000675546
43,626.93,0.12889,0.9704,1,0.11032,0.00066191,0.00066191,0.00066191
44,642.16,0.13207,0.97886,1,0.06508,0.000648164,0.000648164,0.000648164
45,655.955,0.12251,0.98097,1,0.06943,0.000634322,0.000634322,0.000634322
46,670.515,0.14293,0.9704,1,0.09017,0.000620396,0.000620396,0.000620396
47,685.485,0.1067,0.97463,1,0.07774,0.0006064,0.0006064,0.0006064
48,699.635,0.10579,0.98097,1,0.07412,0.000592349,0.000592349,0.000592349
49,713.653,0.13335,0.97886,1,0.05927,0.000578256,0.000578256,0.000578256
50,726.97,0.1084,0.98309,1,0.06918,0.000564135,0.000564135,0.000564135
51,741.5,0.12871,0.97252,1,0.09054,0.00055,0.00055,0.00055
52,757.281,0.1027,0.98097,1,0.06526,0.000535865,0.000535865,0.000535865
53,771.914,0.07476,0.97674,1,0.07278,0.000521744,0.000521744,0.000521744
54,785.647,0.08584,0.97674,1,0.09128,0.000507651,0.000507651,0.000507651
55,800.106,0.08793,0.98097,1,0.07802,0.0004936,0.0004936,0.0004936
56,812.762,0.05647,0.98309,1,0.06926,0.000479604,0.000479604,0.000479604
57,826.825,0.06446,0.98097,1,0.06954,0.000465678,0.000465678,0.000465678
58,842.045,0.10009,0.97674,1,0.08676,0.000451836,0.000451836,0.000451836
59,855.515,0.10117,0.9852,1,0.06097,0.00043809,0.00043809,0.00043809
60,870.928,0.06951,0.97886,1,0.09693,0.000424454,0.000424454,0.000424454
61,884.68,0.09861,0.98943,1,0.05113,0.000410942,0.000410942,0.000410942
62,898.437,0.06948,0.98309,1,0.06328,0.000397568,0.000397568,0.000397568
63,912.613,0.08529,0.98943,1,0.05361,0.000384344,0.000384344,0.000384344
64,927.215,0.0756,0.9852,1,0.05989,0.000371283,0.000371283,0.000371283
65,942.573,0.07291,0.9852,1,0.062,0.000358399,0.000358399,0.000358399
66,954.745,0.06862,0.98309,1,0.05411,0.000345704,0.000345704,0.000345704
67,971.314,0.0846,0.98731,1,0.06439,0.000333211,0.000333211,0.000333211
68,984.919,0.06602,0.9852,1,0.05502,0.000320931,0.000320931,0.000320931
69,1000.05,0.07832,0.98309,1,0.06125,0.000308878,0.000308878,0.000308878
70,1013.19,0.06744,0.9852,1,0.06333,0.000297062,0.000297062,0.000297062
71,1027.67,0.06931,0.9852,1,0.05202,0.000285497,0.000285497,0.000285497
72,1041.81,0.08212,0.98309,1,0.04871,0.000274192,0.000274192,0.000274192
73,1055.96,0.06074,0.98097,1,0.05329,0.000263159,0.000263159,0.000263159
74,1070.16,0.07219,0.9852,1,0.04977,0.00025241,0.00025241,0.00025241
75,1085.34,0.05645,0.98309,1,0.03954,0.000241954,0.000241954,0.000241954
76,1100.12,0.05043,0.98097,1,0.05317,0.000231802,0.000231802,0.000231802
